BirdID	Cohort	CaptureDate	CaptureTime	Year	Tarsus	Bill	Wing	Mass	Sex	Sex
4268	2000	03-Oct-00	NA	2000	19.05000019	NA	76	29.90000057	0	female
4272	2000	03-Oct-00	NA	2000	17.79999924	NA	73	26.10000038	0	female
4272	2000	04-Oct-00	NA	2000	18.10000038	NA	74	26.70000076	0	female
4273	2000	03-Oct-00	NA	2000	19.10000038	NA	75	27.60000038	0	female
4273	2000	05-Oct-00	NA	2000	19.70000076	NA	75	26.60000038	0	female
4273	2000	24-Jul-01	NA	2001	18.29999924	NA	77	27.60000038	0	female
4273	2000	13-Oct-01	NA	2001	18.89999962	NA	78	26.89999962	0	female
4273	2000	22-Mar-02	NA	2002	18.79999924	NA	78	28.5	0	female
4273	2000	26-May-03	12:00	2003	19.39999962	12.69999981	77	28.75	0	female
4273	2000	05-Jul-03	09:00	2003	19.5	13.60000038	78	27.25	0	female
4273	2000	07-Mar-04	08:30	2004	19.79999924	12.80000019	76	27.20000076	0	female
4273	2000	02-May-04	11:00	2004	NA	NA	NA	NA	0	female
4273	2000	25-Nov-04	15:20	2004	19.89999962	13.10000038	78	26.60000038	0	female
4273	2000	08-Aug-05	07:05	2005	19.20000076	13	77	26.60000038	0	female
4273	2000	20-Nov-05	08:40	2005	19.5	13.19999981	79	27.5	0	female
4274	2000	05-Oct-00	NA	2000	19.39999962	NA	80	28.10000038	1	male
4274	2000	28-May-02	NA	2002	19.10000038	NA	81	27	1	male
4274	2000	19-Jun-03	18:40	2003	19.39999962	13.19999981	80	27.75	1	male
4275	2000	03-Oct-00	NA	2000	18.20000076	NA	76	27.20000076	1	male
4275	2000	11-Jul-01	NA	2001	18	NA	78	25.89999962	1	male
4275	2000	28-May-02	NA	2002	18	NA	79	27	1	male
4275	2000	01-Jun-03	12:00	2003	18.60000038	13	78	26	1	male
4275	2000	05-Jul-03	11:00	2003	18.5	12.5	79	26.75	1	male
4275	2000	16-Aug-03	07:00	2003	18.5	12.5	79	28	1	male
4275	2000	09-Mar-04	08:12	2004	19	13	79	25.20000076	1	male
4275	2000	11-Mar-04	11:33	2004	18.60000038	12.80000019	80	25.85000038	1	male
4275	2000	26-May-04	12:00	2004	18.70000076	12.5	80	26.29999924	1	male
4275	2000	05-Jul-04	11:00	2004	18.39999962	12.5	79	26.70000076	1	male
4275	2000	23-Nov-04	09:33	2004	18.60000038	12.19999981	80	25.39999962	1	male
4275	2000	17-Nov-05	09:05	2005	18.79999924	12.5	80	24.89999962	1	male
4276	2000	03-Oct-00	NA	2000	19.79999924	NA	76	28.70000076	1	male
4276	2000	04-Oct-00	NA	2000	19.39999962	NA	76	28	1	male
4276	2000	05-Oct-00	NA	2000	19.10000038	NA	75.5	26.39999962	1	male
4276	2000	14-Apr-01	NA	2001	19.39999962	NA	78	26.5	1	male
4277	2000	03-Oct-00	NA	2000	19	NA	75	26.70000076	0	female
4277	2000	09-Jun-01	NA	2001	19	NA	76	26.20000076	0	female
4281	2000	04-Oct-00	NA	2000	18.5	NA	76	32.09999847	0	female
4282	2000	03-Oct-00	NA	2000	20	NA	82	32.5	1	male
4282	2000	07-Oct-00	NA	2000	20.29999924	NA	83	33.20000076	1	male
4285	2000	03-Oct-00	NA	2000	18.20000076	NA	74	25.5	0	female
4290	2000	03-Oct-00	NA	2000	18.79999924	NA	75	27.60000038	0	female
4290	2000	05-Oct-00	NA	2000	19	NA	75	27.89999962	0	female
4290	2000	29-May-01	NA	2001	18.60000038	NA	76	27.5	0	female
4290	2000	08-Jul-01	NA	2001	18.20000076	NA	77	26	0	female
4290	2000	03-Jun-03	09:20	2003	19.29999924	13.80000019	76	25.25	0	female
4290	2000	06-Jul-03	19:30	2003	19.39999962	13.89999962	76	27.75	0	female
4290	2000	18-Aug-03	09:10	2003	18.79999924	13.89999962	77	26.5	0	female
4290	2000	26-May-04	12:00	2004	19.20000076	14.10000038	77	26.5	0	female
4290	2000	05-Jul-04	11:00	2004	NA	NA	NA	NA	0	female
4290	2000	24-Nov-04	11:10	2004	19	13.69999981	78	24.5	0	female
4290	2000	15-Nov-05	12:30	2005	19	14	77	26.10000038	0	female
4291	2000	04-Oct-00	NA	2000	18.70000076	NA	78	28.29999924	0	female
4291	2000	06-Jun-01	NA	2001	17.5	NA	75	25.60000038	0	female
4294	2000	03-Oct-00	NA	2000	17.89999962	NA	74	27.5	0	female
4295	2000	04-Oct-00	NA	2000	18.39999962	NA	75	28.89999962	1	male
4295	2000	09-Jun-01	NA	2001	17.89999962	NA	77	28.39999962	1	male
4295	2000	12-Oct-01	NA	2001	16.89999962	NA	79	30.60000038	1	male
4301	2000	03-Oct-00	NA	2000	18.90000057	NA	76.5	30.25	0	female
4302	2000	02-Oct-00	NA	2000	18.89999962	NA	78	34.40000153	1	male
4302	2000	03-Oct-00	NA	2000	18.79999924	NA	79	31.5	1	male
4302	2000	05-Oct-00	NA	2000	19	NA	78	29.70000076	1	male
4303	2000	03-Oct-00	NA	2000	18.79999924	NA	79	34	1	male
4303	2000	05-Oct-00	NA	2000	18.79999924	NA	80	33.40000153	1	male
4303	2000	08-Jul-01	NA	2001	18.79999924	NA	80	30.60000038	1	male
4303	2000	11-Oct-01	NA	2001	18.5	NA	83	30.79999924	1	male
4303	2000	30-Jun-02	NA	2002	19.10000038	NA	83	30.60000038	1	male
4304	2000	04-Oct-00	NA	2000	19.29999924	NA	77	33.5	1	male
4304	2000	19-Jul-01	NA	2001	18.39999962	NA	79	28.89999962	1	male
4304	2000	05-Aug-01	NA	2001	18.20000076	NA	79	30.39999962	1	male
4304	2000	15-Jun-03	11:50	2003	19	13.69999981	80	30.5	1	male
4304	2000	10-Mar-04	11:30	2004	19.5	13.89999962	81	29.60000038	1	male
4304	2000	19-Jun-04	17:20	2004	19.20000076	13.5	81	31.70000076	1	male
4304	2000	27-Nov-04	08:40	2004	19.5	13	81	30	1	male
4304	2000	16-Nov-05	08:00	2005	19.79999924	13	81	30.89999962	1	male
4304	2000	14-Aug-07	11:30	2007	19.39999962	12.89999962	80	31.20000076	1	male
4309	2000	03-Oct-00	NA	2000	18.79999924	NA	78	30	1	male
4309	2000	04-Oct-00	NA	2000	18.69999981	NA	77.5	30.5	1	male
4309	2000	05-Oct-00	NA	2000	18.89999962	NA	77	27.10000038	1	male
4310	2000	03-Oct-00	NA	2000	18	NA	74	28.15000057	0	female
4311	2000	03-Oct-00	NA	2000	18.44999981	NA	74	27.69999981	1	male
4311	2000	04-Oct-00	NA	2000	18.39999962	NA	74	26.79999924	1	male
4311	2000	05-Oct-00	NA	2000	18.20000076	NA	74	27.10000038	1	male
4314	2000	05-Oct-00	NA	2000	18.89999962	NA	73	25.79999924	0	female
4314	2000	06-Oct-00	NA	2000	18.79999924	NA	75	27.39999962	0	female
4319	2000	03-Oct-00	NA	2000	18.60000038	NA	77	28.29999924	0	female
4319	2000	05-Oct-00	NA	2000	18.20000076	NA	76	26.60000038	0	female
4322	2000	03-Oct-00	NA	2000	19	NA	77	29	1	male
4322	2000	05-Oct-00	NA	2000	19	NA	77	27.29999924	1	male
4322	2000	06-Oct-00	NA	2000	18.70000076	NA	78	28.89999962	1	male
4323	2000	04-Oct-00	NA	2000	18.70000076	NA	76	29.60000038	0	female
4325	2000	03-Oct-00	NA	2000	18.39999962	NA	76	32.40000153	1	male
4325	2000	11-Oct-01	NA	2001	17.60000038	NA	79	28.70000076	1	male
4325	2000	20-Mar-02	NA	2002	18.20000076	NA	75	28.5	1	male
4326	2000	03-Oct-00	NA	2000	18.70000076	NA	76	30.39999962	1	male
4326	2000	05-Oct-00	NA	2000	17.89999962	NA	77	29.39999962	1	male
4326	2000	24-Jun-01	NA	2001	17.70000076	NA	79	27.89999962	1	male
4326	2000	11-Oct-01	NA	2001	17.29999924	NA	81	28	1	male
4326	2000	20-Mar-02	NA	2002	16.89999962	NA	80	28.20000076	1	male
