,rating,year,max_players,log.play.time,two.players,three.players,weight,mech.pca.1,mech.pca.2,mech.pca.3,log.owned,log.n.ratings
battlelore,7.40095,2006,2,1.77815125038364,2.90277777777778,0,2.7633,3.56939047549709,0.416960881830525,-2.23308357188416,4.00599512305469,3.93731724776249
maria,7.96695,2009,3,2.32221929473392,1.6031746031746,2.95238095238095,3.505,-0.763802012013039,0.673879936858499,0.15475288153248,3.43408963841789,3.29225607135648
quadropolis,7.47174,2016,4,1.77815125038364,2.10714285714286,2.18518518518519,2.2397,-2.62541433660562,-1.23552691707889,-2.15050222358371,3.89226160691554,3.74429298312268
lancaster,7.48275,2011,5,1.77815125038364,1.31914893617021,1.94059405940594,3.0027,-0.478955648921935,-0.5275366384425,1.8938024379807,3.7462448717202,3.69019608002851
earth-reborn,7.77061,2010,4,2.25527250510331,2.85,1.84745762711864,3.8613,1.85908993757655,-0.038081650921927,-3.13828991872097,3.72875947516787,3.45893986189033
mansions-madness,7.39203,2011,5,2.07918124604762,1.64024390243902,2.03468208092486,3.2388,2.24530485078875,1.24273446314431,-0.983004121249983,4.19542914245706,4.03055924529116
fresco,7.3371,2010,4,1.77815125038364,1.66101694915254,2.43333333333333,2.6353,0.122694717651556,-1.26218400279305,-1.41199964140927,4.02710486587935,3.95342139968104
blood-bowl-third-edition,7.57334,1994,2,2.25527250510331,2.97058823529412,0,2.9721,2.82686836168231,0.274145960304665,-0.447374890888572,3.74162425750381,3.65686449154892
1775-rebellion,7.82429,2013,4,2.07918124604762,2.56962025316456,1.75438596491228,2.2995,1.50278273697397,1.09991954161846,0.802704559745605,3.56312496033804,3.38863396935179
star-realms-colony-wars,7.97249,2015,2,1.30102999566398,3,0,1.9756,-0.385309890120143,-0.197001483907866,0.91368115019242,3.76207808733464,3.30663944102426
antiquity,7.83127,2004,4,2.25527250510331,2.57407407407407,2.66666666666667,4.2959,0.501168737374357,-2.90859695375125,-0.257482574504173,3.36342393291718,3.35082927358297
modern-art,7.30449,1992,5,1.65321251377534,1.01739130434783,1.72,2.3229,-0.763802012013039,0.673879936858499,0.15475288153248,4.074743320941,4.06228106997264
roads-boats,7.7603,1999,4,2.38021124171161,2.5,2.35416666666667,4.195,2.05978997029587,-1.75084156446216,-1.36317871277741,3.54132957766669,3.40140054078154
cthulhu-wars,8.04068,2015,4,2.07918124604762,1.27272727272727,2,3.119,1.50278273697397,1.09991954161846,0.802704559745605,3.47784447633876,3.34399906905716
